text,intent
suggest fever treatment,fever_advice
work well lower fever,fever_advice
hav high temprature help,fever_advice
clinic locate,location_inquiry
location,location_inquiry
address,location_inquiry
clinic direction,location_inquiry
need direction clinic,location_inquiry
clinic,location_inquiry
exact address clinic,location_inquiry
office situate,location_inquiry
provide clinic location,location_inquiry
find clinic,location_inquiry
visit consultation,location_inquiry
tell reach clinic,location_inquiry
location clinic,location_inquiry
fid clinic,location_inquiry
clinic address,location_inquiry
need know clinic whereabout,location_inquiry
clinic base,location_inquiry
share clinic location,location_inquiry
clinic street address,location_inquiry
locate clinic,location_inquiry
direction clinic,location_inquiry
locat clinic,location_inquiry
exactly clinic,location_inquiry
need map clinic,location_inquiry
wher clinic locate,location_inquiry
emergency number,emergency_contact
contact emergency,emergency_contact
urgent help need,emergency_contact
medical emergency,emergency_contact
need immediate help,emergency_contact
number emergency,emergency_contact
reach emergency medical service,emergency_contact
case medical emergency,emergency_contact
contact urgent medical assistance,emergency_contact
helpline medical emergency,emergency_contact
fast way emergency help,emergency_contact
provide emergency contact number,emergency_contact
number,emergency_contact
touch emergency service,emergency_contact
number emergency,emergency_contact
need urgnt medical contact,emergency_contact
help need emergency assistance,emergency_contact
emergency hotline,emergency_contact
provide emergency contact,emergency_contact
immediately emergency,emergency_contact
emergency contact info plz,emergency_contact
dial emergency,emergency_contact
emergency hotline,emergency_contact
emergency contact,emergency_contact
whot emergency number,emergency_contact
refill prescription,prescription_refill
need refill medication,prescription_refill
renew prescription online,prescription_refill
request prescription renewal,prescription_refill
offer prescription renewal,prescription_refill
prescription refill phone,prescription_refill
refill prescription,prescription_refill
online service prescription refill,prescription_refill
need doctor approval refill,prescription_refill
process get prescription refill,prescription_refill
medication refill,prescription_refill
repeat prescription appointment,prescription_refill
need refill prescription soon,prescription_refill
renew prescription,prescription_refill
possible refill medication online,prescription_refill
help prescription refill,prescription_refill
step needd prescription refill,prescription_refill
want update prescription renewal,prescription_refill
order refill medicine,prescription_refill
offer online prescription renewal,prescription_refill
reaply prescription,prescription_refill
prescription refill visit,prescription_refill
need reissue prescription,prescription_refill
guide refill medication,prescription_refill
need refil prescription,prescription_refill
